NumberOfObs;Average;StandardDeviation;Variance;95CIHalfWidth
94500000;0.5214478304022588;0.24794922855328191;0.06147881994016763;4.999135998056462E-5
94500000;0.5214204019333093;0.24792550949500328;0.061467058258356966;4.9986577759673165E-5
94500000;0.5213914002328299;0.2479288129881841;0.06146869630972995;4.998724380779019E-5
94500000;0.5213516482271615;0.2479379991597352;0.06147325142733284;4.9989095917641605E-5
94500000;0.5214542797137055;0.24791233969802567;0.06146052817454928;4.998392247388978E-5
94600000;0.521413162123798;0.24793303281702114;0.061470788761846085;4.9961666852152726E-5
94500000;0.5213810947919584;0.24792242123429475;0.06146552695067509;4.9985955106585296E-5
94500000;0.5213901484939482;0.24791611982557935;0.061462402469371014;4.99846846207148E-5
94500000;0.5214047278499702;0.24794525205715584;0.06147684801768655;4.9990558242037504E-5
94500000;0.5214004493782157;0.2479393360689872;0.061473914370330174;4.9989365464403524E-5
94500000;0.5214078597216893;0.24789853068357307;0.06145368151507441;4.9981138309500546E-5
94600000;0.5214263550268725;0.24791150430185244;0.0614601139652074;4.995732858189297E-5
94500000;0.5214236304873565;0.24792297212477854;0.06146580010718372;4.998606617676142E-5
94600000;0.5214358773684189;0.24793149613013274;0.061470026773326025;4.996135719015447E-5
94600000;0.5214128604997493;0.24792668934405798;0.061467643289105034;4.9960388561481773E-5
94500000;0.5213823706862887;0.2479270570706975;0.061467825627736894;4.998688978086427E-5
94600000;0.5213830859425529;0.24791782072380344;0.06146324583243995;4.995860142144012E-5
94500000;0.5214218566808103;0.24791871532975127;0.06146368941075425;4.998520792455465E-5
94500000;0.5214046525568429;0.24791223566389417;0.061460476591870206;4.998390149859679E-5
94500000;0.5214030998341734;0.24792507839627398;0.0614668444977986;4.9986490841831595E-5
94600000;0.521410968429327;0.2479433183643127;0.06147588912150692;4.996373952105583E-5
94500000;0.5213985955677324;0.24794942527991196;0.06147891749663864;4.999139964445806E-5
94600000;0.5214895166967192;0.24795196371797237;0.06148017631159869;4.996548167003234E-5
94500000;0.5213868578659154;0.24792769939951276;0.06146814412953516;4.9987019286776495E-5
94500000;0.521394216368866;0.24793633404388823;0.06147242573912254;4.99887601980824E-5
94600000;0.5214103015288823;0.24794209931326086;0.06147528461186691;4.9963493866727986E-5
94500000;0.5214252624760644;0.24791307103445182;0.06146089078973316;4.998406992545783E-5
94500000;0.5213634838007287;0.24792880628341896;0.06146869298512109;4.998724245597986E-5
94600000;0.5213987795911841;0.24792967479671116;0.06146912364480295;4.996099016825101E-5
94500000;0.521418231851947;0.24794471253128295;0.06147658047222054;4.9990449463186736E-5
94500000;0.5214384267006497;0.2479276744797962;0.06146813177295979;4.9987014262479673E-5
94500000;0.521378614632979;0.24792001727874866;0.06146433496749504;4.998547042265309E-5
94500000;0.521437360284511;0.24797342106173176;0.06149081755305891;4.999623765816743E-5
94700000;0.5214277454535805;0.24793408842503137;0.061471312203151274;4.993549357481983E-5
94500000;0.5213792744015949;0.247933178412569;0.06147086095775878;4.998812396177642E-5
94500000;0.5214398920822108;0.24792425745066038;0.06146643743246133;4.998632532331826E-5
94500000;0.5214094939443334;0.2479365772278931;0.061472546327483;4.9988809228681124E-5
94600000;0.5213838156053345;0.24794149598535295;0.0614749854314548;4.99633722884631E-5
94500000;0.5213830597090999;0.24792339534219593;0.061466009958002776;4.9986151505578074E-5
94600000;0.5214291586423406;0.24792621480402519;0.06146740798705164;4.996029293561556E-5
94500000;0.5214107103570254;0.2479310747046836;0.061469817804219395;4.99876998135796E-5
94500000;0.5214199207524273;0.24791432005466846;0.06146151008816858;4.998432175209039E-5
94600000;0.5213785044996341;0.24792517905801226;0.06146689441094744;4.996008421958989E-5
94500000;0.5214336783641158;0.24792664269272238;0.06146762015688484;4.9986806234250137E-5
94800000;0.5213901167849541;0.2479170222449569;0.06146284991880646;4.990571391678417E-5
94500000;0.5214213419767156;0.24793764043765848;0.06147307354579362;4.9989023592333015E-5
94600000;0.5214017894078926;0.24794798861065911;0.061478205056071544;4.9964680635232614E-5
94700000;0.5214049526380801;0.24791413435695767;0.06146141801395966;4.9931474699301684E-5
94700000;0.521390788738337;0.2479402312156106;0.06147435825525044;4.9936730771695216E-5
94600000;0.5213958116286629;0.24793486695354502;0.06147169825127208;4.996203645404452E-5
94500000;0.5214037193943963;0.24793316142465507;0.06147085253402407;4.998812053668441E-5
94500000;0.5213873920452529;0.24792292741891503;0.061465777939964605;4.9986057163194695E-5
94600000;0.5214381486357191;0.24795361401056956;0.061480994700902514;4.99658142250292E-5
94500000;0.5214423269636363;0.24794552815219695;0.061476984930671885;4.999061390813766E-5
94500000;0.5214229721648047;0.24793341783960346;0.0614709796816274;4.9988172234897246E-5
94500000;0.5214061237813981;0.24791728948375324;0.06146298242497111;4.998492044642463E-5
94500000;0.5213886679406596;0.24793433604862009;0.06147143499187008;4.998835736359378E-5
94500000;0.5214023905893695;0.24791665197928084;0.061462666328615856;4.998479191319323E-5
94500000;0.5213740839384925;0.24791101478292718;0.06145987125070074;4.998365534538118E-5
94600000;0.5214152181865368;0.24790071326212165;0.06145476363586866;4.9955154049819164E-5
94500000;0.5214354296418426;0.24796139161439684;0.06148485173134827;4.999381228892714E-5
94500000;0.5213886652971343;0.2479313189612631;0.06146993892187158;4.998774906043012E-5
94600000;0.5214404197766376;0.24793131340085559;0.06146993616467328;4.996132036787563E-5
94700000;0.5214452126545971;0.24796242135394528;0.061485362403711497;4.994120000590692E-5
94500000;0.5213841707329323;0.24791997150316056;0.06146431227012794;4.9985461193409204E-5
94700000;0.5214475214936837;0.2479548590819607;0.06148161214235498;4.993967691649837E-5
94500000;0.5213919849333934;0.24791132297237378;0.06146002405791262;4.9983717482334205E-5
94500000;0.5214348145783144;0.24793921437086483;0.06147385402284167;4.998934092770834E-5
94600000;0.5213997182515893;0.24791460451179173;0.061461651130238104;4.9957953313718334E-5
94600000;0.5213939181972859;0.2479536528583408;0.061481013965794584;4.9965822053350345E-5
94500000;0.5213943333813317;0.24790709602101887;0.06145792825757468;4.9982865247188984E-5
94600000;0.5213742089461716;0.24795111561126915;0.061479755732872954;4.996531076571967E-5
94600000;0.5214170659255775;0.24790800860362883;0.06145838072981691;4.99566241541365E-5
94600000;0.5214240298476019;0.24792620014406927;0.061467400717877096;4.996028998144755E-5
94600000;0.5214167597318347;0.2479361756917477;0.06147234721664918;4.996230018147663E-5
94500000;0.5214675500695055;0.24795454518412813;0.06148145647746783;4.9992431916170417E-5
94500000;0.52140804317463;0.24792435741052277;0.06146648699742063;4.998634547715981E-5
94500000;0.5214143356028601;0.24792415973153503;0.061466388978587694;4.9986305621252635E-5
94500000;0.5213562230057729;0.24793732325331147;0.06147291626201706;4.99889596418341E-5
94600000;0.5214067448546856;0.2479231239412843;0.06146587538480541;4.9959670087369836E-5
94500000;0.5213878032559638;0.2479265843625575;0.06146759123368434;4.998679447376076E-5
94500000;0.5213867294512395;0.2479399587310444;0.06147422313555201;4.998949100511696E-5
94500000;0.5213677196249882;0.2479480579957824;0.06147823946387987;4.9991123973533346E-5
94600000;0.5213966402318402;0.24794478786430488;0.06147661782907515;4.996403564403797E-5
94500000;0.5213928061886163;0.2479416005533576;0.06147503728496073;4.998982202824925E-5
94500000;0.521370141833533;0.24791337107532077;0.0614610395579297;4.99841304195E-5
94600000;0.5214315631441875;0.247940214104789;0.06147434977032862;4.9963113973187586E-5
94500000;0.5213675133533654;0.2479350471762808;0.061471787618304574;4.998850074068386E-5
94500000;0.5214266048232851;0.24792137780544413;0.06146500957294976;4.9985744731148396E-5
94500000;0.5213808576166113;0.24792433490141266;0.06146647583630782;4.9986340938887865E-5
94500000;0.5214257207889673;0.24795010185510274;0.061479253009955825;4.999153605510194E-5
94700000;0.52135966165591
